Company,Industry,Code,Year,Season,announce_day,Date,TTM_PE,EPS_growth,Expeceted_Dividend_Rate,Position,Close,Position_new,Code_out,Date_out,Close_out,Return,holding_days,Daily_Return_geometry,Daily_Return_arithmetic
1307 三芳,塑膠工業,1307,2016,4,2017-03-31,2017-03-31,9.6925,0.11764705882352935,0.048925,1.0,35.52,1.0,1307,2017-05-15,35.0,-0.014639639639639768,45,-0.0003276764497760487,-0.00032532532532532815
1310 台苯,塑膠工業,1310,2016,3,2016-11-14,2016-11-14,7.809999999999999,4.066666666666666,0.0605,1.0,16.49,1.0,1310,2017-05-15,21.13,0.2813826561552457,182,0.001363234377157907,0.0015460585503035479
1312 國喬,塑膠工業,1312,2015,1,2015-05-15,2015-05-15,13.04,1.2857142857142856,0.04019999999999999,1.0,17.36,1.0,1312,2015-08-14,14.99,-0.13652073732718895,91,-0.0016117261141572747,-0.001500227882716362
1312 國喬,塑膠工業,1312,2016,3,2016-11-14,2016-11-14,7.6525000000000025,2.9375,0.04994999999999999,1.0,17.65,1.0,1312,2017-05-15,18.93,0.07252124645892355,182,0.00038475631754408823,0.0003984683871369426
1323 永裕,塑膠工業,1323,2016,1,2016-05-15,2016-05-16,6.172499999999999,0.30769230769230776,0.060275,1.0,29.02,1.0,1323,2017-03-31,31.6,0.08890420399724341,319,0.0002670321142428378,0.00027869656425468154
1326 台化,塑膠工業,1326,2016,3,2016-11-14,2016-11-14,11.172500000000007,0.924812030075188,0.043900000000000015,1.0,89.46,1.0,1326,2017-05-15,85.89,-0.039906103286384886,182,-0.0002237342547170007,-0.00021926430377134553
1339 昭輝,塑膠工業,1339,2016,4,2017-03-31,2017-03-31,8.627499999999992,0.7428571428571429,0.0453,1.0,42.96,1.0,1339,2017-05-15,40.76,-0.05121042830540046,45,-0.0011675010918130724,-0.001138009517897788
1402 遠東新,紡織纖維,1402,2016,3,2016-11-14,2016-11-14,9.5975,0.8000000000000002,0.040274999999999984,1.0,22.23,1.0,1402,2017-03-31,25.47,0.14574898785425083,137,0.0009936214976815627,0.0010638612252135097
1409 新纖,紡織纖維,1409,2015,3,2015-11-14,2015-11-16,11.007499999999995,0.5499999999999999,0.042024999999999986,1.0,8.29,1.0,1409,2016-03-31,8.59,0.03618817852834755,136,0.000261422156354163,0.0002660895480025555
1410 南染,紡織纖維,1410,2015,2,2015-08-14,2015-08-14,13.63,0.857142857142857,0.04445000000000001,1.0,21.06,1.0,1410,2016-08-15,23.07,0.09544159544159547,367,0.0002484165872935762,0.0002600588431651103
1410 南染,紡織纖維,1410,2016,4,2017-03-31,2017-03-31,11.2175,0.25714285714285723,0.054950000000000006,1.0,24.34,1.0,1410,2017-05-15,23.16,-0.04847986852917008,45,-0.0011037112367555668,-0.001077330411759335
1416 廣豐,紡織纖維,1416,2016,4,2017-03-31,2017-03-31,11.52000000000001,1.4583333333333333,0.07732499999999998,1.0,28.25,1.0,1416,2017-05-15,26.13,-0.07504424778761065,45,-0.0017320400190797836,-0.0016676499508357923
1434 福懋,紡織纖維,1434,2016,1,2016-05-15,2016-05-16,12.585,0.22580645161290325,0.0415,1.0,26.53,1.0,1434,2016-08-15,28.39,0.07010931021485112,91,0.0007449015029110662,0.0007704319803829794
1442 名軒,建材營造,1442,2014,4,2015-03-31,2015-03-31,11.802499999999995,2.4,0.113925,1.0,17.15,1.0,1442,2015-05-15,17.15,0.0,45,0.0,0.0
1442 名軒,建材營造,1442,2015,2,2015-08-14,2015-08-14,13.56,2.043478260869565,0.097975,1.0,14.7,1.0,1442,2016-03-31,14.29,-0.027891156462585,230,-0.00012298157559342826,-0.00012126589766341304
1442 名軒,建材營造,1442,2016,3,2016-11-14,2016-11-14,8.837499999999997,2.581395348837209,0.051375000000000025,1.0,15.08,1.0,1442,2017-03-31,17.6,0.1671087533156499,137,0.0011285892208585668,0.001219771922012043
