Company,Industry,Code,Year,Season,announce_day,Date,TTM_PE,EPS_growth,Expeceted_Dividend_Rate,Position,Close,Position_new,Code_out,Date_out,Close_out,Return,holding_days,Daily_Return_geometry,Daily_Return_arithmetic
1730 花仙子,化學工業,1730,2014,2,2014-08-14,2014-08-14,11.19,0.3823529411764704,0.084975,1.0,21.37,1.0,1730,2014-11-14,23.94,0.12026204960224618,92,0.001235138577864614,0.0013071961913287628
1730 花仙子,化學工業,1730,2015,1,2015-05-15,2015-05-15,10.7275,0.3750000000000001,0.076275,1.0,26.2,1.0,1730,2017-03-31,37.77,0.44160305343511475,686,0.0005333137734309101,0.0006437362294972518
1773 勝一,化學工業,1773,2015,4,2016-03-31,2016-03-31,8.915000000000003,0.21348314606741575,0.065875,1.0,38.6,1.0,1773,2017-05-15,59.79,0.5489637305699482,410,0.0010678530334369274,0.0013389359282193858
1808 潤隆,建材營造,1808,2015,3,2015-11-14,2015-11-16,8.009999999999991,0.9791666666666669,0.13824999999999998,1.0,21.5,1.0,1808,2016-03-31,25.22,0.1730232558139535,136,0.0011741033924368427,0.0012722298221614229
1808 潤隆,建材營造,1808,2016,4,2017-03-31,2017-03-31,7.69999999999999,0.5900000000000001,0.153775,1.0,42.9,1.0,1808,2017-05-15,42.68,-0.00512820512820511,45,-0.00011424679556926165,-0.00011396011396011355
1909 榮成,造紙工業,1909,2015,4,2016-03-31,2016-03-31,7.385000000000002,inf,0.07955,1.0,11.37,1.0,1909,2016-11-14,14.35,0.2620932277924364,228,0.0010214495458551465,0.0011495317008440192
1909 榮成,造紙工業,1909,2016,4,2017-03-31,2017-03-31,8.3475,7.736842105263157,0.07392499999999999,1.0,25.02,1.0,1909,2017-05-15,27.5,0.09912070343725032,45,0.0021024403600304886,0.0022026822986055627
2006 東和鋼鐵,鋼鐵工業,2006,2016,2,2016-08-14,2016-08-15,13.9425,0.9166666666666666,0.06357499999999998,1.0,17.59,1.0,2006,2017-03-31,22.43,0.27515633882888,228,0.0010666596604609335,0.0012068260474950878
2010 春源,鋼鐵工業,2010,2015,1,2015-05-15,2015-05-15,14.9425,0.14285714285714274,0.06867499999999999,1.0,9.82,1.0,2010,2015-08-14,8.94,-0.08961303462321801,91,-0.0010311771269255754,-0.000984758622233165
2015 豐興,鋼鐵工業,2015,2014,4,2015-03-31,2015-03-31,13.742499999999994,0.1333333333333333,0.066375,1.0,32.67,1.0,2015,2015-11-16,33.83,0.035506580961126355,230,0.0001517104511259415,0.00015437643896141893
2015 豐興,鋼鐵工業,2015,2015,4,2016-03-31,2016-03-31,9.854999999999997,0.22352941176470595,0.06517500000000001,1.0,37.34,1.0,2015,2016-05-16,36.85,-0.013122656668452137,46,-0.0002871222394361661,-0.0002852751449663508
2015 豐興,鋼鐵工業,2015,2016,3,2016-11-14,2016-11-14,9.577499999999992,0.390625,0.061875,1.0,42.24,1.0,2015,2017-03-31,48.9,0.15767045454545436,137,0.0010692556048734758,0.001150879230258791
2034 允強,鋼鐵工業,2034,2016,2,2016-08-14,2016-08-15,11.147500000000004,1.3809523809523812,0.062300000000000015,1.0,21.61,1.0,2034,2016-11-14,23.0,0.06432207311429905,91,0.0006852681550595374,0.0007068359682890006
2062 橋椿,其他,2062,2015,1,2015-05-15,2015-05-15,10.835000000000004,0.4259259259259259,0.06917500000000003,1.0,49.53,1.0,2062,2015-08-14,34.03,-0.31294165152432873,91,-0.004116077702079224,-0.003438919247520096
2104 中橡,橡膠工業,2104,2015,4,2016-03-31,2016-03-31,8.020000000000003,1.8333333333333337,0.072425,1.0,21.21,1.0,2104,2017-05-15,27.57,0.2998585572842998,410,0.0006398520728370105,0.0007313623348397556
2107 厚生,橡膠工業,2107,2014,1,2014-05-15,2014-05-15,6.565,0.4081632653061224,0.071225,1.0,24.59,1.0,2107,2015-05-15,28.27,0.1496543310288736,365,0.00038215879990377566,0.0004100118658325304
